dataset,DOI,AuthorYear,Publication_Year,location,OA_reported,sample_size,fraction_majority_class,Confusion_matrix,classification_type,model_group,ancillary,indices,RS_device_type,RS_devices,RS_spectral_bands_no,RS_spatital_resolution_m
nina_2024,10.3390/su142416687,Aja et al. 2022,2022,Ghana,0.989,1705,0.554252199,Reported,Pixel-level,RF,Remote Sensing Only,Used,Passive,satellite,8,NA
nina_2024,10.3390/su142416687,Aja et al. 2022,2022,Ghana,0.968,1705,0.554252199,Reported,Pixel-level,RF,Remote Sensing Only,Used,Passive,satellite,8,NA
nina_2024,10.3390/su142416687,Aja et al. 2022,2022,Ghana,0.991,1705,0.554252199,Reported,Pixel-level,RF,Remote Sensing Only,Used,Combined,satellite,9,NA
nina_2024,10.3390/su142416687,Aja et al. 2022,2022,Ghana,0.996,1705,0.554252199,Reported,Pixel-level,RF,Remote Sensing Only,Used,Combined,satellite,9,NA
nina_2024,10.3390/su142416687,Aja et al. 2022,2022,Ghana,0.966,1705,0.554252199,Reported,Pixel-level,RF,Remote Sensing Only,Not Used,Active,satellite,1,25
nina_2024,10.3390/su142416687,Aja et al. 2022,2022,Ghana,0.846,1705,0.554252199,Reported,Pixel-level,RF,Remote Sensing Only,Not Used,Active,satellite,1,25
nina_2024,10.3390/rs11050601,Pareeth et al. 2019,2019,Iran,0.872,16725.5,0.74391797,Not Reported,Object-level,RF,Remote Sensing Only,Not Used,Passive,satellite,7,15
nina_2024,10.3390/rs13071231,Agrillo et al. 2021,2021,Italy,0.872,2022,0.570227498,Reported,Pixel-level,RF,Ancillary Data Included,Used,Passive,satellite,10,20
nina_2024,10.3390/rs13071231,Agrillo et al. 2021,2021,Italy,0.676,1146,0.363874346,Reported,Pixel-level,RF,Ancillary Data Included,Used,Passive,satellite,10,20
nina_2024,10.3390/rs13071231,Agrillo et al. 2021,2021,Italy,0.915,644,0.886645963,Reported,Pixel-level,RF,Ancillary Data Included,Used,Passive,satellite,10,20
nina_2024,10.3390/rs13071231,Agrillo et al. 2021,2021,Italy,0.762,319,0.219435737,Reported,Pixel-level,RF,Ancillary Data Included,Used,Passive,satellite,10,20
nina_2024,10.3390/rs13091666,Mashaba-Munghemezulu et al. 2021,2021,South Africa,0.971,73014,0.704221108,Reported,Pixel-level,SVM,Remote Sensing Only,Not Used,Active,satellite,1,10
nina_2024,10.3390/rs13091666,Mashaba-Munghemezulu et al. 2021,2021,South Africa,0.968,73014,0.727187871,Reported,Pixel-level,DT,Remote Sensing Only,Not Used,Active,satellite,1,10
nina_2024,10.3390/rs15102522,Fagua et al. 2023,2023,Colombia,0.81,14850,0.51,Not Reported,Pixel-level,RF,Ancillary Data Included,Used,Combined,satellite,14,10
nina_2024,10.3390/rs15102522,Fagua et al. 2023,2023,Colombia,0.73,14850,0.43,Not Reported,Pixel-level,RF,Ancillary Data Included,Used,Combined,satellite,14,10
nina_2024,10.1016/j.ifacol.2019.12.511,Tao et al. 2019,2019,USA,0.93,761337,0.7538,Not Reported,Pixel-level,NN,Remote Sensing Only,Used,Passive,satellite,11,30
nina_2024,10.1016/j.ifacol.2019.12.511,Tao et al. 2019,2019,USA,0.92,761337,0.7538,Not Reported,Pixel-level,SVM,Remote Sensing Only,Used,Passive,satellite,11,30
nina_2024,10.1016/j.ifacol.2019.12.511,Tao et al. 2019,2019,USA,0.9,761337,0.7538,Not Reported,Pixel-level,SVM,Remote Sensing Only,Used,Passive,satellite,11,30
nina_2024,10.1016/j.rsase.2020.100287,Shaharum et al. 2020,2020,Malaysia,0.9316,1846,0.25460455,Not Reported,Unclear,KNN,Remote Sensing Only,Used,Passive,satellite,7,30
nina_2024,10.1016/j.rsase.2020.100287,Shaharum et al. 2020,2020,Malaysia,0.865,1846,0.25460455,Not Reported,Unclear,DT,Remote Sensing Only,Used,Passive,satellite,7,30
nina_2024,10.1016/j.rsase.2020.100287,Shaharum et al. 2020,2020,Malaysia,0.8008,1846,0.25460455,Not Reported,Unclear,RF,Remote Sensing Only,Used,Passive,satellite,7,30
nina_2024,10.1016/j.compenvurbsys.2018.01.004,Jochem et al. 2018,2018,Afghanistan,0.896,70572,0.601,Reported,Pixel-level,RF,Ancillary Data Included,Used,Not Reported,satellite,NA,20
nina_2024,10.1016/j.compenvurbsys.2018.01.004,Jochem et al. 2018,2018,Afghanistan,0.855,59643,0.665,Reported,Pixel-level,RF,Ancillary Data Included,Used,Not Reported,satellite,NA,20
nina_2024,10.1016/j.compenvurbsys.2018.01.004,Jochem et al. 2018,2018,Afghanistan,0.796,82606,0.613,Reported,Pixel-level,RF,Ancillary Data Included,Used,Not Reported,satellite,NA,20
nina_2024,10.1016/j.compenvurbsys.2018.01.004,Jochem et al. 2018,2018,Afghanistan,0.82,427796,0.717,Reported,Pixel-level,RF,Ancillary Data Included,Used,Not Reported,satellite,NA,20
nina_2024,10.1016/j.compenvurbsys.2018.01.004,Jochem et al. 2018,2018,Afghanistan,0.776,92248,0.543,Reported,Pixel-level,RF,Ancillary Data Included,Used,Not Reported,satellite,NA,20
nina_2024,10.1016/j.compenvurbsys.2018.01.004,Jochem et al. 2018,2018,Afghanistan,0.899,34740,0.859,Reported,Pixel-level,RF,Ancillary Data Included,Used,Not Reported,satellite,NA,20
nina_2024,10.1016/j.compenvurbsys.2018.01.004,Jochem et al. 2018,2018,Afghanistan,0.903,54162,0.614,Reported,Pixel-level,RF,Ancillary Data Included,Used,Not Reported,satellite,NA,20
nina_2024,10.1016/j.egyr.2022.03.039,Xia et al. 2022,2022,China,0.918,400,0.5,Reported,Object-level,RF,Remote Sensing Only,Used,Passive,satellite,7,30
nina_2024,10.1016/j.egyr.2022.03.039,Xia et al. 2022,2022,China,0.928,400,0.5,Reported,Object-level,RF,Remote Sensing Only,Used,Passive,satellite,7,30
nina_2024,10.1016/j.jag.2022.102804,Li et al. 2022,2022,Germany,0.73,1200,0.141666667,Not Reported,Object-level,NN,Remote Sensing Only,Not Used,Passive,satellite,10,10
nina_2024,10.1016/j.jag.2022.102804,Li et al. 2022,2022,Germany,0.7483,1200,0.141666667,Not Reported,Object-level,NN,Ancillary Data Included,Not Used,Passive,satellite,10,10
nina_2024,10.1016/j.scib.2023.05.004,Jia et al. 2023,2023,Global,0.952,81947,0.735145887,Not Reported,Object-level,RF,Remote Sensing Only,Used,Passive,satellite,10,10
nina_2024,10.1016/j.rsase.2023.100924,Priyanka et al. 2023,2023,India,0.6504,59818,0.280734896,Reported,Pixel-level,RF,Remote Sensing Only,Not Used,Active,satellite,1,NA
nina_2024,10.1016/j.rsase.2023.100924,Priyanka et al. 2023,2023,India,0.7056,59818,0.488933097,Reported,Pixel-level,RF,Remote Sensing Only,Not Used,Active,satellite,1,NA
nina_2024,10.1016/j.rsase.2023.100924,Priyanka et al. 2023,2023,India,0.6883,59818,0.264903541,Reported,Pixel-level,RF,Remote Sensing Only,Not Used,Active,satellite,1,NA
nina_2024,10.1016/j.rsase.2023.100924,Priyanka et al. 2023,2023,India,0.7014,59818,0.278227289,Reported,Pixel-level,RF,Remote Sensing Only,Not Used,Active,satellite,1,NA
nina_2024,10.1016/j.rsase.2023.100924,Priyanka et al. 2023,2023,India,0.673,59818,0.280734896,Reported,Pixel-level,RF,Remote Sensing Only,Not Used,Active,satellite,1,NA
nina_2024,10.1016/j.rsase.2023.100924,Priyanka et al. 2023,2023,India,0.7072,59818,0.298070815,Reported,Pixel-level,RF,Remote Sensing Only,Not Used,Active,satellite,1,NA
nina_2024,10.1016/j.rsase.2023.100924,Priyanka et al. 2023,2023,India,0.7005,59818,0.293456819,Reported,Pixel-level,RF,Remote Sensing Only,Not Used,Active,satellite,1,NA
nina_2024,10.1016/j.rse.2023.113793,Wang et al. 2023,2023,East Asia,0.8874,41742,0.710651143,Not Reported,Object-level,RF,Ancillary Data Included,Used,Combined,satellite,NA,10
nina_2024,10.1016/j.ejrs.2023.05.003,Al-Dousari et al. 2023,2023,Kuwait,0.936,862,0.47,Not Reported,Object-level,RF,Remote Sensing Only,Not Used,Passive,satellite,13,NA
nina_2024,10.1016/j.ejrs.2023.05.003,Al-Dousari et al. 2023,2023,Kuwait,0.953,862,0.53,Not Reported,Object-level,RF,Remote Sensing Only,Not Used,Passive,satellite,13,NA
nina_2024,10.1016/j.marpolbul.2022.113901,Peng et al. 2022,2022,China,0.83,882,0.619047619,Not Reported,Unclear,DT,Remote Sensing Only,Used,Passive,satellite,1,10
nina_2024,10.1016/j.isprsjprs.2023.03.017,Solórzano et al. 2023,2023,Mexico,0.99,3211264,0.987555679,Reported,Pixel-level,NN,Remote Sensing Only,Used,Passive,satellite,4,10
nina_2024,10.1016/j.isprsjprs.2023.03.017,Solórzano et al. 2023,2023,Mexico,0.98,3211264,0.987555679,Reported,Pixel-level,NN,Remote Sensing Only,Used,Passive,satellite,1,10
nina_2024,10.1016/j.isprsjprs.2023.03.017,Solórzano et al. 2023,2023,Mexico,0.95,3211264,0.987555679,Reported,Pixel-level,NN,Remote Sensing Only,Used,Passive,satellite,4,10
nina_2024,10.1016/j.isprsjprs.2023.03.017,Solórzano et al. 2023,2023,Mexico,0.97,404,0.75,Reported,Object-level,SVM,Remote Sensing Only,Used,Passive,satellite,4,10
nina_2024,10.1016/j.isprsjprs.2023.03.017,Solórzano et al. 2023,2023,Mexico,0.99,3211264,0.987555679,Reported,Pixel-level,SVM,Remote Sensing Only,Used,Combined,satellite,5,10
nina_2024,10.1016/j.isprsjprs.2023.03.017,Solórzano et al. 2023,2023,Mexico,0.95,3211264,0.987555679,Reported,Pixel-level,NN,Remote Sensing Only,Used,Combined,satellite,5,10
nina_2024,10.1016/j.procs.2021.12.201,Suryono et al. 2022,2022,Indonesia,0.8146,259,0.312741313,Reported,Object-level,RF,Remote Sensing Only,Used,Passive,satellite,7,15
nina_2024,10.1016/j.iswcr.2023.11.004,Shen et al. 2023,2023,China,0.8534,75782016,0.86,Not Reported,Object-level,NN,Remote Sensing Only,Not Used,Passive,aerial photographic images,NA,0.2
nina_2024,10.1016/j.iswcr.2023.11.004,Shen et al. 2023,2023,China,0.9274,75782016,0.86,Not Reported,Object-level,NN,Remote Sensing Only,Not Used,Passive,aerial photographic images,NA,0.2
nina_2024,10.1016/j.iswcr.2023.11.004,Shen et al. 2023,2023,China,0.9572,75782016,0.86,Not Reported,Object-level,NN,Remote Sensing Only,Not Used,Passive,aerial photographic images,NA,0.2
nina_2024,10.1016/j.iswcr.2023.11.004,Shen et al. 2023,2023,China,0.9631,75782016,0.86,Not Reported,Object-level,NN,Remote Sensing Only,Not Used,Passive,aerial photographic images,NA,0.2
nina_2024,10.1016/j.iswcr.2023.11.004,Shen et al. 2023,2023,China,0.9509,75782016,0.86,Not Reported,Object-level,NN,Remote Sensing Only,Not Used,Passive,aerial photographic images,NA,0.2
nina_2024,10.1016/j.iswcr.2023.11.004,Shen et al. 2023,2023,China,0.9613,75782016,0.86,Not Reported,Object-level,NN,Remote Sensing Only,Not Used,Passive,aerial photographic images,NA,0.2
nina_2024,10.1016/j.iswcr.2023.11.004,Shen et al. 2023,2023,China,0.9765,75782016,0.86,Not Reported,Object-level,NN,Remote Sensing Only,Not Used,Passive,aerial photographic images,NA,0.2
nina_2024,10.1080/17538947.2022.2130461,Owers et al. 2022,2022,Australia,0.8,11737,0.608673426,Reported,Object-level,RF,Remote Sensing Only,Used,Passive,satellite,8,25
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,Pakistan,0.9996,3110,0.987459807,Reported,Object-level,NN,Remote Sensing Only,Used,Passive,satellite,NA,NA
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,Pakistan,0.9955,3110,0.990353698,Reported,Object-level,NN,Remote Sensing Only,Used,Passive,satellite,NA,NA
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,Pakistan,0.975562701,3110,0.993247588,Reported,Object-level,NN,Remote Sensing Only,Used,Passive,satellite,NA,NA
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,Pakistan,0.997427653,3110,0.995176849,Reported,Object-level,NN,Remote Sensing Only,Used,Passive,satellite,NA,NA
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,Pakistan,0.996784566,3110,0.993890675,Reported,Object-level,NN,Remote Sensing Only,Used,Passive,satellite,NA,NA
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,Pakistan,0.998713826,3110,0.993890675,Reported,Object-level,NN,Remote Sensing Only,Used,Passive,satellite,NA,NA
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,Pakistan,0.997749196,3110,0.993890675,Reported,Object-level,NN,Remote Sensing Only,Used,Passive,satellite,NA,NA
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,Pakistan,0.997427653,3110,0.993890675,Reported,Object-level,NN,Remote Sensing Only,Used,Passive,satellite,NA,NA
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,Pakistan,1,3110,0.993890675,Reported,Object-level,NN,Remote Sensing Only,Used,Passive,satellite,NA,NA
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,India,0.997768853,4482,0.990629183,Reported,Object-level,NN,Remote Sensing Only,Used,Passive,satellite,NA,NA
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,India,0.997768853,4482,0.974788041,Reported,Object-level,NN,Remote Sensing Only,Used,Passive,satellite,NA,NA
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,India,0.998438197,4482,0.987282463,Reported,Object-level,NN,Remote Sensing Only,Used,Passive,satellite,NA,NA
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,India,0.995537706,4482,0.99286033,Reported,Object-level,NN,Remote Sensing Only,Used,Passive,satellite,NA,NA
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,India,0.99665328,4482,0.994403403,Reported,Object-level,NN,Remote Sensing Only,Used,Passive,satellite,NA,NA
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,India,0.998884427,4482,0.991075413,Reported,Object-level,NN,Remote Sensing Only,Used,Passive,satellite,NA,NA
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,India,0.999776736,4479,0.991739228,Reported,Object-level,NN,Remote Sensing Only,Used,Passive,satellite,NA,NA
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,India,0.999553771,4482,0.991075413,Reported,Object-level,NN,Remote Sensing Only,Used,Passive,satellite,NA,NA
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,India,1,4482,0.991075413,Reported,Object-level,NN,Remote Sensing Only,Used,Passive,satellite,NA,NA
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,Afghanistan,0.796340493,5028,0.975735879,Reported,Object-level,NN,Remote Sensing Only,Used,Passive,satellite,NA,NA
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,Afghanistan,0.748579545,4224,0.971117424,Reported,Object-level,NN,Remote Sensing Only,Used,Passive,satellite,NA,NA
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,Afghanistan,0.923058712,4224,0.971117424,Reported,Object-level,NN,Remote Sensing Only,Used,Passive,satellite,NA,NA
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,2020,Afghanistan,0.973011364,4224,0.971117424,Reported,Object-level,NN,Remote Sensing Only,Used,Passive,satellite,NA,NA
